round,test_acc,test_loss
1,30.16,1.5836597800254821
2,31.52,1.5715194463729858
3,33.28,1.5613944768905639
4,34.16,1.5501396119594575
5,35.4,1.5382957458496094
6,35.36,1.5256168484687804
7,36.0,1.513453483581543
8,38.52,1.5006988167762756
9,38.68,1.4872592687606812
10,40.96,1.4735152840614318
11,43.36,1.4582937896251678
12,44.0,1.4420400261878967
13,45.88,1.4251479744911193
14,45.88,1.4070346653461456
15,46.16,1.3884932339191436
16,47.6,1.3697605192661286
17,47.2,1.3505306541919708
18,47.76,1.3318376123905182
19,48.72,1.3145654141902923
20,48.8,1.2974396347999573
21,48.12,1.280651706457138
22,49.84,1.2652683019638062
23,50.84,1.2493468880653382
24,53.0,1.233906489610672
25,54.72,1.2194734752178191
26,54.56,1.205098682641983
27,55.88,1.1914072453975677
28,56.2,1.1781213939189912
29,57.52,1.166156780719757
30,57.0,1.1542159914970398
31,58.12,1.1429261445999146
32,57.6,1.1315491020679473
33,58.64,1.1230497896671294
34,57.08,1.113101202249527
35,59.48,1.1087731003761292
36,56.12,1.1051173269748689
37,58.36,1.1023426413536073
38,53.8,1.1065338611602784
39,56.08,1.0980587363243104
40,53.08,1.1097379863262176
41,54.32,1.0973610758781434
42,51.64,1.1133685290813446
43,56.0,1.0731366634368897
44,53.96,1.0816812217235565
45,57.24,1.0579542130231858
46,55.04,1.0635272830724716
47,57.72,1.0468688875436782
48,55.08,1.0535474061965941
49,56.24,1.0441783398389817
50,53.8,1.058382162451744
51,56.72,1.0408743888139724
52,53.44,1.063769096136093
53,57.4,1.0274007946252823
54,54.28,1.045732119679451
55,56.32,1.02647705078125
56,54.2,1.040399757027626
57,55.8,1.0251645416021347
58,54.56,1.0384449750185012
59,56.6,1.0107830435037612
60,55.12,1.023070976138115
61,58.0,0.9989323914051056
62,56.28,1.0063830733299255
63,58.56,0.9851513892412186
64,56.84,0.9876237481832504
65,59.16,0.9753361254930496
66,56.72,0.9929151803255081
67,58.04,0.9849043279886246
68,55.68,1.006064921617508
69,56.8,0.9928458899259567
70,55.04,1.011712458729744
71,58.68,0.9738739043474197
72,57.0,0.985857704281807
73,58.76,0.9664413392543793
74,56.68,0.9772571712732315
75,58.4,0.96715067923069
76,57.2,0.9746750056743622
77,58.48,0.9635867565870285
78,57.32,0.9677438408136367
79,57.68,0.9686616241931916
80,56.32,0.991816622018814
81,58.6,0.9568186610937118
82,57.36,0.9732786357402802
83,59.12,0.9473083347082139
84,57.16,0.9646203279495239
85,59.92,0.9358918577432632
86,58.16,0.947560915350914
87,60.0,0.9291702389717102
88,59.4,0.9270417183637619
89,60.64,0.9142833113670349
90,60.24,0.9143201977014541
91,60.6,0.9109478890895844
92,59.8,0.9151314795017242
93,60.92,0.9104262381792069
94,59.48,0.9149731069803237
95,60.48,0.9175875157117843
96,58.52,0.9265325158834458
97,60.2,0.9247213780879975
98,58.04,0.9396603971719741
99,60.72,0.9172926485538483
100,58.36,0.9330996394157409
101,61.12,0.9153156965970993
102,58.44,0.9258166462182998
103,60.72,0.9154700696468353
104,58.6,0.9274946957826614
105,61.12,0.9075400322675705
106,59.52,0.9180253207683563
107,60.76,0.912011769413948
108,60.4,0.9067268013954163
109,62.0,0.893864381313324
110,60.6,0.8979952484369278
111,61.84,0.8891736298799515
112,60.68,0.8930757015943527
113,62.04,0.8899513781070709
114,61.08,0.8877831071615219
115,61.8,0.8882752776145935
116,60.28,0.8975739568471909
117,61.48,0.8884212106466294
118,60.2,0.8955916196107865
119,61.56,0.8978861063718796
120,59.76,0.9073070168495179
121,61.4,0.8984930366277695
122,60.2,0.8989949017763138
123,61.84,0.8848814010620117
124,60.44,0.8930994421243668
125,62.0,0.886393415927887
126,60.48,0.8949080556631088
127,61.08,0.8934700191020966
128,60.28,0.89722138941288
129,61.52,0.8873999863862991
130,60.36,0.8941285312175751
131,62.0,0.8776271611452102
132,60.96,0.8879170775413513
133,62.68,0.8701084733009339
134,61.84,0.8720655083656311
135,62.88,0.8661162167787552
136,62.76,0.8561896502971649
137,63.84,0.8477212816476822
138,63.68,0.8408513933420181
139,64.96,0.8415796816349029
140,63.36,0.8444790720939637
141,63.76,0.844667038321495
142,63.64,0.8419169008731842
143,65.2,0.836461278796196
144,64.24,0.8301156044006348
145,64.96,0.8301761448383331
146,64.08,0.8320044457912446
147,64.32,0.8436894118785858
148,63.28,0.8480960696935653
149,63.88,0.8537750095129013
150,61.44,0.8683302849531174
151,63.32,0.8619062572717666
152,61.64,0.8666964322328568
153,63.56,0.8533881366252899
154,62.64,0.8534417420625686
155,63.6,0.857573613524437
156,63.12,0.8457368701696396
157,64.08,0.8415033787488937
158,63.92,0.8330806106328964
159,65.08,0.8238939881324768
160,64.36,0.8231935232877732
