round,test_acc,test_loss
1,30.16,1.5836597859859467
2,31.52,1.5715194582939147
3,33.28,1.5613944768905639
4,34.16,1.5501396000385284
5,35.4,1.5382956922054292
6,35.36,1.5256168842315674
7,36.04,1.513453447818756
8,38.52,1.5006987750530243
9,38.68,1.487259215116501
10,40.96,1.4735152006149292
11,43.36,1.4582933723926543
12,44.0,1.4420393884181977
13,45.88,1.4251470863819122
14,45.88,1.4070338666439057
15,46.2,1.3884974479675294
16,47.64,1.369764542579651
17,47.2,1.3505362093448638
18,47.76,1.331839370727539
19,48.76,1.3145710349082946
20,48.72,1.2974309623241425
21,48.12,1.2806359767913817
22,49.8,1.265263456106186
23,50.84,1.2493462681770324
24,53.0,1.23390012383461
25,54.56,1.2194626808166504
26,54.6,1.2050777971744537
27,55.92,1.1913883805274963
28,56.2,1.1781141817569734
29,57.44,1.1661431670188904
30,57.0,1.1542082905769349
31,58.04,1.142892998456955
32,57.64,1.131486701965332
33,58.6,1.1229736924171447
34,57.16,1.1129875898361206
35,59.56,1.1085693895816804
36,56.12,1.1046904981136323
37,58.36,1.1019745528697968
38,53.76,1.105863833427429
39,56.32,1.0976172804832458
40,53.16,1.1094195067882537
41,54.36,1.0967098355293274
42,51.68,1.1130664467811584
43,55.88,1.0734261393547058
44,53.88,1.0825094878673553
45,57.04,1.0585455507040025
46,55.04,1.064179116487503
47,57.68,1.047143131494522
48,55.08,1.0541587829589845
49,56.28,1.0440701007843018
50,53.88,1.0578798353672028
51,56.76,1.0406052261590957
52,53.48,1.0629593461751938
53,57.36,1.02747223675251
54,54.16,1.0462848603725434
55,56.28,1.0264622151851654
56,54.2,1.040463536977768
57,55.84,1.0251370161771773
58,54.52,1.038863542675972
59,56.68,1.0106305241584779
60,55.16,1.0229835897684096
61,57.96,0.9986878722906113
62,56.56,1.0059252202510833
63,58.52,0.98469680249691
64,56.8,0.9869187384843826
65,59.16,0.975172245502472
66,56.68,0.9927136927843094
67,58.04,0.9847561836242675
68,55.64,1.006191137433052
69,56.8,0.9929817289113998
70,55.04,1.0122372269630433
71,58.72,0.973962664604187
72,57.04,0.9859811425209045
73,58.8,0.9666459530591964
74,56.76,0.9773088067770004
75,58.36,0.9674621105194092
76,57.2,0.9746657103300095
77,58.52,0.9635677486658096
78,57.2,0.9678366988897323
79,57.64,0.9687748283147812
80,56.32,0.9915190696716308
81,58.72,0.9563634395599365
82,57.36,0.9725795716047287
83,59.12,0.9472474455833435
84,57.12,0.9645318478345871
85,59.84,0.9362091779708862
86,58.12,0.948002028465271
87,59.96,0.9292362570762634
88,59.4,0.927202332019806
89,60.6,0.9142704874277114
90,60.2,0.9143558830022812
91,60.6,0.9108791321516037
92,59.76,0.9151271253824234
93,60.92,0.9105438590049744
94,59.48,0.9151331156492233
95,60.48,0.9177189081907272
96,58.4,0.9270705580711365
97,60.16,0.9251074612140655
98,57.96,0.9408031851053238
99,60.64,0.9176155716180802
100,58.36,0.9334921061992645
101,61.16,0.9148759037256241
102,58.52,0.9245412021875381
103,60.68,0.914069777727127
104,58.72,0.9251829415559769
105,61.16,0.9072162717580795
106,59.44,0.9176789849996567
107,60.64,0.9124028652906417
108,60.4,0.9069821178913117
109,61.96,0.8938283085823059
110,60.64,0.8980849206447601
111,61.76,0.8892311364412308
112,60.72,0.89320909678936
113,62.16,0.8904125303030014
114,61.08,0.8881110429763794
115,61.84,0.8887341916561127
116,60.2,0.898565599322319
117,61.4,0.8887554198503494
118,60.16,0.8958084255456924
119,61.36,0.8986301630735397
120,59.72,0.9081875056028366
121,61.4,0.8992972433567047
122,60.12,0.9006352037191391
123,61.68,0.8862647235393524
124,60.36,0.8947439074516297
125,61.8,0.887351456284523
126,60.4,0.8956285387277603
127,61.12,0.893733236193657
128,60.24,0.8972171932458878
129,61.48,0.8869140952825546
130,60.32,0.893185830116272
131,62.04,0.8765354305505753
132,61.08,0.8859717071056366
133,62.8,0.8685136914253235
134,62.04,0.8695792257785797
135,62.8,0.8630779623985291
136,62.72,0.8536044359207153
137,63.92,0.8464002281427383
138,63.68,0.8402562826871872
139,64.88,0.8409492820501328
140,63.4,0.8437275260686874
141,63.88,0.8440424710512161
142,63.64,0.8413796246051788
143,65.2,0.8359913349151611
144,64.28,0.8295583635568619
145,64.92,0.8296404749155044
146,64.04,0.8314349323511123
147,64.32,0.8434570074081421
148,63.28,0.8481000155210495
149,63.68,0.8528704464435577
150,61.56,0.8669961541891098
151,63.32,0.8612812906503677
152,61.72,0.8664895713329315
153,63.4,0.8542600393295288
154,62.36,0.8553197652101516
155,63.44,0.8608246892690659
156,63.04,0.8489311099052429
157,64.12,0.8445283740758895
158,63.92,0.836255356669426
159,65.2,0.8255335837602615
160,64.44,0.8242095500230789
