round,test_acc,test_loss
1,29.24,1.5844634413719176
2,32.84,1.5613641083240508
3,34.32,1.5378284573554992
4,36.68,1.509718894958496
5,39.16,1.476234096288681
6,42.88,1.429795104265213
7,43.2,1.3695293307304381
8,44.08,1.3017555236816407
9,47.24,1.228641539812088
10,51.28,1.1711812138557434
11,52.72,1.107925409078598
12,56.2,1.048492756485939
13,59.36,1.0009481966495515
14,61.16,0.9644073694944382
15,61.92,0.9356244295835495
16,61.76,0.9141070157289505
17,63.2,0.8916304290294648
18,63.64,0.8764299392700196
19,64.44,0.8605629116296768
20,64.16,0.8538786470890045
21,63.88,0.8389921009540557
22,64.72,0.8313854724168778
23,64.88,0.8499481976032257
24,62.68,0.8560436278581619
25,62.8,0.8948011249303818
26,60.68,0.891414687037468
27,63.28,0.8511885106563568
28,64.2,0.8084219783544541
29,65.92,0.7971269577741623
30,66.92,0.789951953291893
31,64.64,0.8084742546081543
32,64.72,0.8169828951358795
33,65.96,0.7757584303617477
34,66.48,0.7696734815835953
35,66.76,0.7865216344594955
36,67.84,0.7534002631902694
37,67.2,0.7444736629724502
38,67.84,0.7464203208684921
39,66.92,0.74670989215374
40,66.76,0.7665087878704071
41,65.92,0.7537014037370682
42,67.96,0.7529029607772827
43,67.52,0.7329847007989884
44,68.96,0.720665454864502
45,67.52,0.7157208383083343
46,68.28,0.7136017471551895
47,68.16,0.7052915513515472
48,69.12,0.7070552378892898
49,66.56,0.744995790719986
50,63.2,0.8434749335050583
51,52.32,1.0944153428077699
52,61.68,0.888959887623787
53,67.48,0.7202054262161255
54,64.04,0.8184921234846115
55,67.0,0.7487386643886567
56,66.84,0.7707063853740692
57,68.08,0.7315129458904266
58,66.84,0.7537006705999374
59,68.12,0.7162876963615418
60,66.2,0.7606433510780335
61,67.32,0.7183136284351349
62,68.16,0.7216081410646439
63,69.56,0.6994643658399582
64,69.16,0.6955017983913422
65,66.32,0.7478849172592164
66,68.96,0.6805586755275727
67,68.64,0.711391806602478
68,69.16,0.6896844953298569
69,68.56,0.6987704247236252
70,67.6,0.7225380450487137
71,70.48,0.6719486892223359
72,70.64,0.6811204224824905
73,69.88,0.6911067306995392
74,70.08,0.666825196146965
75,69.6,0.703470429778099
76,69.84,0.6796059250831604
77,71.84,0.6473373830318451
78,70.72,0.6802894294261932
79,68.24,0.7142739057540893
80,72.04,0.6622129321098328
81,72.8,0.6439265757799149
82,71.12,0.6688288807868957
83,72.08,0.6580942660570145
84,72.48,0.6407600104808807
85,71.2,0.6522799789905548
86,72.24,0.660555624961853
87,71.04,0.6610324710607529
88,73.2,0.638595987856388
89,73.2,0.6359318137168884
90,71.68,0.6623211205005646
91,67.36,0.8071153312921524
92,62.28,0.8787131518125534
93,53.72,1.2966508328914643
94,67.64,0.7388530373573303
95,64.08,0.8383509367704391
96,66.4,0.8339584797620774
97,67.52,0.8036979615688324
98,68.48,0.7151209652423859
99,62.64,0.8248004108667374
100,69.08,0.7112272769212723
101,65.28,0.8186628103256226
102,68.52,0.7313643306493759
103,68.16,0.6920957863330841
104,68.0,0.7310869485139847
105,68.08,0.7313947409391404
106,68.6,0.740862575173378
107,70.36,0.6921389102935791
108,67.92,0.6956700325012207
109,69.44,0.6967122048139572
110,69.28,0.7130439162254334
111,70.92,0.6699157297611237
112,71.4,0.6785443305969239
113,71.32,0.6587844640016556
114,70.84,0.67974251806736
115,70.92,0.6820540249347686
116,72.6,0.663221251964569
117,72.28,0.6688659340143204
118,71.8,0.6770247429609298
119,72.08,0.6736044377088547
120,72.0,0.6677061647176743
121,73.08,0.6486106276512146
122,72.68,0.673937538266182
123,73.36,0.6451889738440514
124,72.32,0.654106804728508
125,72.6,0.653995880484581
126,73.08,0.668717822432518
127,73.8,0.6379967570304871
128,73.32,0.6444784954190255
129,73.4,0.6551552310585975
130,73.4,0.6570575669407844
131,73.64,0.6402740702033043
132,74.28,0.6439645826816559
133,73.4,0.6789911225438118
134,74.4,0.6460564091801644
135,73.36,0.6519317299127578
136,73.64,0.6789257571101188
137,74.4,0.6543410420417786
138,73.76,0.6509637594223022
139,74.24,0.6519016951322556
140,73.48,0.686611644923687
141,73.24,0.6479473769664764
142,73.52,0.6410718604922294
143,74.52,0.6726618364453316
144,74.52,0.6569949418306351
145,73.52,0.6552879542112351
146,74.56,0.6597763061523437
147,74.52,0.6708005189895629
148,74.64,0.6529962316155433
149,74.64,0.6484536245465279
150,74.8,0.661408020555973
151,74.72,0.6634090900421142
152,73.72,0.6570916175842285
153,74.72,0.6770323723554611
154,75.2,0.6532774671912194
155,73.08,0.6662603199481965
156,74.2,0.6984602853655815
157,75.04,0.6599309206008911
158,74.24,0.6642463058233261
159,74.76,0.6786675095558167
160,74.84,0.6799445018172264
