round,test_acc,test_loss
1,30.08,1.583342307806015
2,29.92,1.5598684549331665
3,28.48,1.5361324727535248
4,32.8,1.5090747714042663
5,39.04,1.4756406188011169
6,45.16,1.4252345442771912
7,46.16,1.3650936126708983
8,47.68,1.2957952618598938
9,52.04,1.2208517968654633
10,54.48,1.162978082895279
11,56.48,1.1071192502975464
12,59.44,1.0520300626754762
13,60.6,1.0025022596120834
14,59.96,0.9656210392713547
15,61.36,0.9321524739265442
16,60.92,0.9093593001365662
17,61.64,0.8890647560358047
18,62.88,0.8763250112533569
19,62.28,0.8673129707574845
20,63.72,0.8645982265472412
21,63.96,0.8427999079227447
22,64.24,0.8370937764644623
23,63.28,0.8542467504739761
24,62.16,0.8541977256536484
25,63.68,0.8613853543996811
26,63.28,0.8295025706291199
27,65.48,0.8034307718276977
28,65.8,0.7997743278741837
29,65.52,0.799173966050148
30,66.0,0.7885460972785949
31,66.16,0.7766661375761033
32,66.48,0.7740873664617538
33,67.68,0.7727245539426804
34,67.76,0.7612339794635773
35,66.48,0.7693665057420731
36,65.52,0.8037797212600708
37,62.92,0.8307809382677078
38,67.28,0.7814846009016037
39,68.44,0.7323924452066422
40,67.56,0.7335005193948746
41,68.36,0.7298303991556168
42,68.28,0.7150310188531875
43,68.08,0.7179166406393052
44,68.8,0.7092471480369568
45,68.32,0.703317043185234
46,68.16,0.7064813852310181
47,69.04,0.7123808085918426
48,67.52,0.7134864836931228
49,69.52,0.70135138630867
50,69.0,0.6935087591409683
51,69.2,0.707038813829422
52,64.8,0.7765249460935593
53,64.32,0.8193142116069794
54,57.48,0.9745337039232254
55,65.6,0.7741676151752472
56,69.08,0.6947563976049423
57,65.24,0.7680892735719681
58,68.8,0.692565706372261
59,67.04,0.7431640207767487
60,68.48,0.7024644941091538
61,67.52,0.7285238444805145
62,69.36,0.7022448807954789
63,70.2,0.689494326710701
64,69.48,0.6876329243183136
65,68.76,0.6900281101465225
66,69.4,0.6846928060054779
67,70.4,0.6759657829999923
68,70.28,0.6730558902025223
69,71.44,0.657515087723732
70,71.28,0.6586134463548661
71,70.92,0.6631944686174392
72,71.12,0.6547847926616669
73,71.28,0.6527903288602829
74,72.32,0.64387266933918
75,72.24,0.642721688747406
76,72.36,0.639495250582695
77,72.92,0.6329405963420868
78,72.72,0.6316633999347687
79,71.6,0.642630809545517
80,71.88,0.6573334693908691
81,69.24,0.7025546431541443
82,66.16,0.7484207838773728
83,63.52,0.8888764649629592
84,64.68,0.8147388607263565
85,68.96,0.7369842946529388
86,73.24,0.6456742644309997
87,66.6,0.7664919435977936
88,70.96,0.6935742437839508
89,71.0,0.6864099353551865
90,69.8,0.6957271367311477
91,71.56,0.6559672802686691
92,70.2,0.6881578445434571
93,72.12,0.6530952602624893
94,71.28,0.6553015232086181
95,72.64,0.6479555279016495
96,72.32,0.6491567611694335
97,73.4,0.6336589604616165
98,73.28,0.6320200294256211
99,72.8,0.6336161613464355
100,72.36,0.6532156765460968
101,72.88,0.6306329429149627
102,73.04,0.6438266336917877
103,73.12,0.6334830075502396
104,73.32,0.635557410120964
105,73.48,0.620992648601532
106,73.44,0.6224425569176674
107,74.04,0.6222994446754455
108,74.04,0.6134189635515213
109,74.24,0.6135681390762329
110,74.76,0.6052748471498489
111,74.52,0.6179950565099717
112,74.72,0.6228070229291915
113,74.64,0.6046458050608635
114,74.4,0.6090360641479492
115,73.96,0.6298740088939667
116,73.28,0.6237061500549317
117,75.24,0.6189059868454934
118,74.88,0.6072397649288177
119,73.92,0.6168282046914101
120,75.48,0.615750141441822
121,72.68,0.6507639795541763
122,71.56,0.7325911194086074
123,65.56,0.866359144449234
124,51.56,1.7346840798854828
125,47.8,1.497144991159439
126,60.92,0.9444040358066559
127,61.6,1.0018948793411255
128,68.48,0.7530200392007828
129,58.84,0.9188571572303772
130,57.08,0.9134470105171204
131,64.52,0.7867726564407349
132,64.0,0.815363609790802
133,62.52,0.8462512940168381
134,64.76,0.7912118375301361
135,68.32,0.714796382188797
136,66.6,0.7587286859750748
137,62.76,0.7865170121192933
138,67.72,0.7007669121026993
139,70.12,0.7042101293802261
140,67.84,0.7600194245576859
141,69.88,0.7144524663686752
142,70.36,0.6720782935619354
143,68.44,0.7348794549703598
144,68.96,0.7233983635902405
145,72.08,0.6575896799564361
146,71.32,0.6842364072799683
147,71.28,0.694521626830101
148,72.2,0.6741777777671814
149,71.4,0.6756975620985031
150,71.04,0.6857081651687622
151,71.64,0.6783746302127838
152,72.56,0.6489559233188629
153,72.12,0.6751746088266373
154,73.0,0.6669695794582366
155,72.12,0.6709239482879639
156,71.08,0.672050017118454
157,71.4,0.677334588766098
158,72.68,0.6655561417341233
159,73.8,0.6489996746182441
160,72.92,0.6562746226787567
